DATE,CSUSHPISA
1987-01-01,63.965
1987-02-01,64.425
1987-03-01,64.735
1987-04-01,65.134
1987-05-01,65.569
1987-06-01,66.074
1987-07-01,66.508
1987-08-01,66.936
1987-09-01,67.329
1987-10-01,67.74
1987-11-01,68.108
1987-12-01,68.507
1988-01-01,68.859
1988-02-01,69.263
1988-03-01,69.637
1988-04-01,69.97399999999999
1988-05-01,70.425
1988-06-01,70.887
1988-07-01,71.354
1988-08-01,71.79899999999999
1988-09-01,72.241
1988-10-01,72.637
1988-11-01,73.071
1988-12-01,73.465
1989-01-01,73.947
1989-02-01,74.382
1989-03-01,74.778
1989-04-01,75.085
1989-05-01,75.307
1989-06-01,75.48
1989-07-01,75.65899999999999
1989-08-01,75.835
1989-09-01,76.057
1989-10-01,76.28699999999999
1989-11-01,76.51899999999999
1989-12-01,76.706
1990-01-01,76.89699999999999
1990-02-01,77.05199999999999
1990-03-01,77.20100000000001
1990-04-01,77.277
1990-05-01,77.298
1990-06-01,77.258
1990-07-01,77.14
1990-08-01,77.007
1990-09-01,76.84899999999999
1990-10-01,76.702
1990-11-01,76.365
1990-12-01,76.182
1991-01-01,75.914
1991-02-01,75.735
1991-03-01,75.572
1991-04-01,75.565
1991-05-01,75.764
1991-06-01,75.993
1991-07-01,76.084
1991-08-01,76.109
1991-09-01,76.194
1991-10-01,76.07300000000001
1991-11-01,76.01100000000001
1991-12-01,76.057
1992-01-01,76.08800000000001
1992-02-01,76.157
1992-03-01,76.278
1992-04-01,76.347
1992-05-01,76.399
1992-06-01,76.334
1992-07-01,76.268
1992-08-01,76.234
1992-09-01,76.242
1992-10-01,76.38
1992-11-01,76.558
1992-12-01,76.676
1993-01-01,76.78699999999999
1993-02-01,76.84
1993-03-01,76.87100000000001
1993-04-01,76.939
1993-05-01,77.039
1993-06-01,77.245
1993-07-01,77.433
1993-08-01,77.615
1993-09-01,77.797
1993-10-01,77.945
1993-11-01,78.15
1993-12-01,78.328
1994-01-01,78.594
1994-02-01,78.73
1994-03-01,78.859
1994-04-01,78.99
1994-05-01,79.225
1994-06-01,79.426
1994-07-01,79.598
1994-08-01,79.78399999999999
1994-09-01,79.922
1994-10-01,80.068
1994-11-01,80.15100000000001
1994-12-01,80.29899999999999
1995-01-01,80.429
1995-02-01,80.53
1995-03-01,80.601
1995-04-01,80.665
1995-05-01,80.708
1995-06-01,80.79
1995-07-01,80.941
1995-08-01,81.11399999999999
1995-09-01,81.31
1995-10-01,81.486
1995-11-01,81.624
1995-12-01,81.741
1996-01-01,81.83800000000001
1996-02-01,81.95700000000001
1996-03-01,82.198
1996-04-01,82.42399999999999
1996-05-01,82.613
1996-06-01,82.756
1996-07-01,82.93299999999999
1996-08-01,83.09
1996-09-01,83.26
1996-10-01,83.381
1996-11-01,83.556
1996-12-01,83.725
1997-01-01,83.959
1997-02-01,84.184
1997-03-01,84.456
1997-04-01,84.626
1997-05-01,84.865
1997-06-01,85.084
1997-07-01,85.335
1997-08-01,85.57700000000001
1997-09-01,85.854
1997-10-01,86.15
1997-11-01,86.635
1997-12-01,87.095
1998-01-01,87.618
1998-02-01,88.006
1998-03-01,88.445
1998-04-01,88.882
1998-05-01,89.367
1998-06-01,89.848
1998-07-01,90.31299999999999
1998-08-01,90.789
1998-09-01,91.262
1998-10-01,91.721
1998-11-01,92.20299999999999
1998-12-01,92.715
1999-01-01,93.211
1999-02-01,93.67399999999999
1999-03-01,94.22
1999-04-01,94.788
1999-05-01,95.348
1999-06-01,95.979
1999-07-01,96.595
1999-08-01,97.223
1999-09-01,97.868
1999-10-01,98.529
1999-11-01,99.16
1999-12-01,99.84899999999999
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.126
2000-04-01,102.92200000000001
2000-05-01,103.677
2000-06-01,104.42299999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.537
2000-10-01,107.381
2000-11-01,108.3
2000-12-01,109.13799999999999
2001-01-01,109.84700000000001
2001-02-01,110.501
2001-03-01,111.10799999999999
2001-04-01,111.65
2001-05-01,112.162
2001-06-01,112.795
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.81
2001-10-01,115.30799999999999
2001-11-01,115.854
2001-12-01,116.45100000000001
2002-01-01,117.14299999999999
