Date,Open,High,Low,Close,Adj Close,Volume
1992-01-02,3152.10009765625,3172.6298828125,3139.31005859375,3172.39990234375,3172.39990234375,235500
1992-01-03,3172.39990234375,3210.639892578125,3165.919921875,3201.5,3201.5,236200
1992-01-06,3201.5,3213.330078125,3191.860107421875,3200.10009765625,3200.10009765625,272800
1992-01-07,3200.10009765625,3210.199951171875,3184.47998046875,3204.800048828125,3204.800048828125,255100
1992-01-08,3204.800048828125,3229.199951171875,3185.820068359375,3203.89990234375,3203.89990234375,290400
1992-01-09,3203.89990234375,3228.31005859375,3192.75,3209.5,3209.5,298200
1992-01-10,3209.5,3217.1298828125,3185.3798828125,3199.5,3199.5,234400
1992-01-13,3199.5,3201.25,3179.110107421875,3185.60009765625,3185.60009765625,193000
1992-01-14,3185.60009765625,3248.8798828125,3182.919921875,3246.199951171875,3246.199951171875,242200
1992-01-15,3246.199951171875,3263.419921875,3232.110107421875,3258.5,3258.5,295600
1992-01-16,3258.5,3262.75,3222.050048828125,3249.60009765625,3249.60009765625,381000
1992-01-17,3249.60009765625,3279.9599609375,3243.2900390625,3265.0,3265.0,397800
1992-01-20,3265.0,3269.89990234375,3245.080078125,3254.0,3254.0,181900
1992-01-21,3254.0,3254.469970703125,3215.340087890625,3223.39990234375,3223.39990234375,241600
1992-01-22,3223.39990234375,3256.0400390625,3216.909912109375,3255.800048828125,3255.800048828125,215900
1992-01-23,3255.800048828125,3266.989990234375,3222.93994140625,3226.699951171875,3226.699951171875,221400
1992-01-24,3226.699951171875,3248.429931640625,3216.679931640625,3232.800048828125,3232.800048828125,226000
1992-01-27,3232.800048828125,3246.64990234375,3230.550048828125,3240.60009765625,3240.60009765625,191100
1992-01-28,3240.60009765625,3275.489990234375,3239.93994140625,3272.10009765625,3272.10009765625,249600
1992-01-29,3272.10009765625,3299.18994140625,3218.469970703125,3225.0,3225.0,325000
1992-01-30,3225.0,3247.320068359375,3216.010009765625,3244.89990234375,3244.89990234375,220800
1992-01-31,3244.89990234375,3255.3701171875,3222.719970703125,3223.39990234375,3223.39990234375,206100
1992-02-03,3223.39990234375,3239.0400390625,3213.550048828125,3234.10009765625,3234.10009765625,188600
1992-02-04,3234.10009765625,3272.81005859375,3229.429931640625,3272.800048828125,3272.800048828125,239700
1992-02-05,3272.800048828125,3282.199951171875,3251.7900390625,3257.60009765625,3257.60009765625,273600
1992-02-06,3257.60009765625,3265.64990234375,3238.60009765625,3255.60009765625,3255.60009765625,204900
1992-02-07,3255.60009765625,3269.89990234375,3207.9599609375,3225.39990234375,3225.39990234375,216600
1992-02-10,3225.39990234375,3247.989990234375,3223.840087890625,3245.10009765625,3245.10009765625,161000
1992-02-11,3245.10009765625,3259.6201171875,3236.139892578125,3251.60009765625,3251.60009765625,234000
1992-02-12,3251.60009765625,3286.0,3244.6298828125,3276.800048828125,3276.800048828125,215800
1992-02-13,3276.800048828125,3283.989990234375,3236.360107421875,3246.699951171875,3246.699951171875,222000
1992-02-14,3246.699951171875,3254.699951171875,3221.820068359375,3246.0,3246.0,212600
1992-02-18,3246.0,3268.56005859375,3219.139892578125,3224.699951171875,3224.699951171875,219700
1992-02-19,3224.699951171875,3241.72998046875,3215.340087890625,3230.300048828125,3230.300048828125,229300
1992-02-20,3230.60009765625,3283.77001953125,3230.550048828125,3280.60009765625,3280.60009765625,258400
1992-02-21,3280.60009765625,3286.669921875,3252.909912109375,3280.199951171875,3280.199951171875,268400
1992-02-24,3280.199951171875,3289.800048828125,3266.10009765625,3282.39990234375,3282.39990234375,178800
1992-02-25,3282.199951171875,3282.199951171875,3240.3798828125,3257.800048828125,3257.800048828125,209800
1992-02-26,3257.800048828125,3290.919921875,3254.469970703125,3283.300048828125,3283.300048828125,211600
1992-02-27,3283.300048828125,3286.89990234375,3265.8798828125,3269.5,3269.5,187100
1992-02-28,3269.5,3293.3798828125,3259.389892578125,3267.699951171875,3267.699951171875,179600
1992-03-02,3267.699951171875,3276.6201171875,3261.39990234375,3275.300048828125,3275.300048828125,172200
1992-03-03,3275.300048828125,3295.6201171875,3272.81005859375,3290.300048828125,3290.300048828125,195200
1992-03-04,3290.300048828125,3299.639892578125,3268.56005859375,3268.60009765625,3268.60009765625,228000
1992-03-05,3268.300048828125,3268.340087890625,3235.68994140625,3241.5,3241.5,182200
1992-03-06,3241.5,3252.010009765625,3213.77001953125,3221.60009765625,3221.60009765625,184600
1992-03-09,3221.60009765625,3227.18994140625,3211.31005859375,3215.10009765625,3215.10009765625,165300
1992-03-10,3215.10009765625,3248.2099609375,3214.669921875,3231.0,3231.0,207300
