Date,Open,High,Low,Close,Adj Close,Volume
1987-01-01,351.29998779296875,396.20001220703125,348.79998779296875,392.1000061035156,392.1000061035156,3184620000
1987-02-01,393.79998779296875,425.0,392.0,425.0,425.0,3029700000
1987-03-01,425.0,440.0,422.8999938964844,430.1000061035156,430.1000061035156,3305000000
1987-04-01,426.29998779296875,439.20001220703125,407.3999938964844,417.79998779296875,417.79998779296875,3027000000
1987-05-01,418.6000061035156,424.79998779296875,404.5,416.5,416.5,2783700000
1987-06-01,415.5,429.8999938964844,413.5,424.70001220703125,424.70001220703125,3274900000
1987-07-01,424.5,434.8999938964844,423.70001220703125,434.8999938964844,434.8999938964844,3379500000
1987-08-01,433.29998779296875,455.79998779296875,431.20001220703125,455.0,455.0,3136000000
1987-09-01,455.5,456.29998779296875,434.8999938964844,444.29998779296875,444.29998779296875,3092900000
1987-10-01,446.20001220703125,453.70001220703125,288.5,323.29998779296875,323.29998779296875,4074200000
1987-11-01,325.3999938964844,328.79998779296875,301.6000061035156,305.20001220703125,305.20001220703125,2497350000
1987-12-01,306.3999938964844,333.20001220703125,291.8999938964844,330.5,330.5,2943710000
1988-01-01,335.1000061035156,349.70001220703125,329.0,344.70001220703125,344.70001220703125,2465240000
1988-02-01,346.20001220703125,367.0,343.5,367.0,367.0,2492870000
1988-03-01,367.3999938964844,382.6000061035156,366.70001220703125,374.6000061035156,374.6000061035156,3154880000
1988-04-01,373.70001220703125,384.29998779296875,369.79998779296875,379.20001220703125,379.20001220703125,2502240000
1988-05-01,379.0,383.1000061035156,362.3999938964844,370.29998779296875,370.29998779296875,2467340000
1988-06-01,372.70001220703125,394.79998779296875,372.70001220703125,394.70001220703125,394.70001220703125,3096040000
1988-07-01,394.20001220703125,397.5,382.1000061035156,387.29998779296875,387.29998779296875,2609630000
1988-08-01,387.6000061035156,389.5,372.20001220703125,376.6000061035156,376.6000061035156,2590980000
1988-09-01,374.20001220703125,388.3999938964844,372.20001220703125,387.70001220703125,387.70001220703125,2344120000
1988-10-01,384.70001220703125,388.8999938964844,380.70001220703125,382.5,382.5,2496530000
1988-11-01,382.70001220703125,383.1000061035156,364.0,371.5,371.5,2285850000
1988-12-01,372.1000061035156,381.3999938964844,371.20001220703125,381.3999938964844,381.3999938964844,2486740000
