,IXIC_ADJCLOSE,DJI_ADJCLOSE,GSPC_ADJCLOSE,SPCS10RSA
IXIC_ADJCLOSE,1.0,0.9595856087739402,0.9771373043476655,0.7115152774878034
DJI_ADJCLOSE,0.9595856087739402,1.0,0.993187476475562,0.8205650008611235
GSPC_ADJCLOSE,0.9771373043476655,0.993187476475562,1.0,0.7915739522093062
SPCS10RSA,0.7115152774878034,0.8205650008611235,0.7915739522093062,1.0
