,IXIC_ADJCLOSE,DJI_ADJCLOSE,GSPC_ADJCLOSE,SPCS10RSA
IXIC_ADJCLOSE,1.0,0.9821251171774497,0.984128818369683,0.67948585208474
DJI_ADJCLOSE,0.9821251171774497,1.0,0.9976592453812965,0.7667175837578304
GSPC_ADJCLOSE,0.984128818369683,0.9976592453812965,1.0,0.764455351367624
SPCS10RSA,0.67948585208474,0.7667175837578304,0.764455351367624,1.0
